item_code,item_name,tin_size
CG-H255,Hardener,1
CG-H255B,Hardener,2.5
500,Standard hardener,1
HYT-03,Slow thinner,1
HYT-03-5,Slow thinner,5
CG-03,Slow thinner,1
CG-03-5,Slow thinner,5
CG-body filler,Putty,5
CG-Body filler-2.5kg,Putty,2.5
CG-Body filler-1kg,Putty,1
CG-Fiber putty,Fiber,1.5
M-Midogo,Mikono midogo,1
M-Mikubwa,Mikono mikubwa,4
M-CUPS 0.2L,MIXING CUPS,0.2
M-CUPS 0.3L,MIXING CUPS,0.3
M-CUPS 0.5L,MIXING CUPS,0.5
M-CUPS 1L,MIXING CUPS,1
M-CUPS 2L,MIXING CUPS,2
MA-CG,Matting agent (colour gen),3.5
1KN-H126-4,Silver control agent,3.5
CG-H126-4,Silver control agent,4
1KN-H125-4,Colour control agent (HYT),3.5
CG,Chemical gel,5
RZ-CG-1,Resin 160,1
1K-160,Resin,4
1k-160-CG,Resin,4
Polish 250 g,Polish,0.25
Polish 1.5 kg,Polish,1.5
1C0,Silver,4
AB 150,Resin,4
C02,Middle Coarse Silver,4
C07,Fine Silver,4
C20,Bright Middle Silver,4
C30,Bright Twinkiling Middle Silver,4
L97A-3,Diemong Silver,4
M11,Pure White,4
M24,Super black,4
M31,Scarlet Red,1
M33,Trans Oxide Iron (Violet),1
M34,Violet Red,1
M35,Rose Red,1
M36,Millet Red,1
M37,Trans Red,1
M54,Trans Oxide Yellow,1
M61,Blue Green,1
M81,Violet,1
P11,White Pearl,1
P33,Interference Red Pearl,1
P41,Copper Color Pearl,1
P52,Yellow Colour Pearl,1
P71,Blue Color Pearl,1
